// Real Linear Graphics 
// Creado por: Junior_Djjr 
// Correcciones y Mejoras por: Vector VY (Minami)
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	35 35 35 			170 170 170 			255 255 255 			15 18 20 			30 36 40 			0 0 0 			0 0 0 			1.0		1.4		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 5AM 
	40 40 40 			160 160 160 			255 255 255 			15 18 20 			30 36 40 			255 194 139 			255 194 139 			1.0		0.8		0.8			200 150 255			400.0		10.0		0.8			25 20 15			30 25 18			87 87 87 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 6AM 
	81 60 40 			211 170 133 			255 255 255 			58 77 101 			255 204 153 			255 194 139 			255 194 139 			5.0		0.8		0.5			210 5 255			800.0		10.0		0.5			50 50 50			222 138 84			232 178 144 250			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 7AM 
	70 60 50 			176 156 134 			255 255 255 			89 126 207 			255 204 153 			255 194 139 			255 194 139 			5.0		0.7		0.3			220 0 255			800.0		20.0		1.0			50 50 50			255 194 139			225 184 158 250			70 70 70 70			70 70 70 70			0	255	0	0.75		
// Midday 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	80 80 80 			200 200 200 			255 255 255 			89 126 157 			200 210 215 			255 255 255 			255 255 255 			6.0		0.7		0.3			230 0 255			800.0		20.0		1.0			50 50 50			255 255 255			198 227 255 250			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 7PM 
	46 25 7 			204 170 144 			255 255 255 			58 77 101 			255 204 153 			255 194 139 			255 194 139 			5.0		0.8		0.3			210 5 255			800.0		10.0		0.5			50 50 50			222 138 84			255 177 129 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 8PM 
	9 3 0 			141 133 126 			255 255 255 			45 63 77 			116 84 66 			255 194 139 			255 194 139 			5.0		0.8		0.5			200 10 255			800.0		10.0		0.7			50 50 50			87 77 71			124 119 114 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 10PM 
	35 35 35 			170 170 170 			255 255 255 			15 18 20 			30 36 40 			0 0 0 			0 0 0 			1.0		1.3		0.8			200 150 255			600.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	35 35 35 			170 170 170 			255 255 255 			15 18 20 			30 36 40 			0 0 0 			0 0 0 			1.0		1.4		0.8			200 150 255			800.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			70 70 70 70			70 70 70 70			100	100	0	0.75		
// 5AM 
	40 40 40 			160 160 160 			255 255 255 			15 18 20 			30 36 40 			255 194 139 			255 194 139 			1.0		0.8		0.8			200 150 255			800.0		20.0		0.8			25 20 15			30 25 18			87 87 87 255			70 70 70 70			70 70 70 70			100	100	0	0.75		
// 6AM 
	81 60 40 			211 170 133 			255 255 255 			58 77 101 			255 204 153 			255 194 139 			255 194 139 			5.0		0.8		0.5			210 5 255			800.0		10.0		0.5			50 50 50			222 138 84			232 178 144 250			70 70 70 70			70 70 70 70			100	100	0	0.75		
// 7AM 
	70 60 50 			176 156 134 			255 255 255 			89 126 207 			255 204 153 			255 194 139 			255 194 139 			5.0		0.7		0.3			220 0 255			800.0		10.0		1.0			50 50 50			255 194 139			225 184 158 250			70 70 70 70			70 70 70 70			100	100	0	0.75		
// Midday 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	80 80 80 			200 200 200 			255 255 255 			89 126 187 			200 210 215 			255 255 255 			255 255 255 			6.0		0.7		0.3			230 0 255			800.0		20.0		1.0			50 50 50			255 255 255			198 227 255 250			70 70 70 70			70 70 70 70			100	255	0	0.75		
// 7PM 
	46 25 7 			204 170 144 			255 255 255 			58 77 101 			255 204 153 			255 194 139 			255 194 139 			5.0		0.8		0.3			210 5 255			800.0		10.0		0.5			50 50 50			222 138 84			255 177 129 255			70 70 70 70			70 70 70 70			100	100	0	0.75		
// 8PM 
	9 3 0 			141 133 126 			255 255 255 			45 63 77 			116 84 66 			255 194 139 			255 194 139 			5.0		0.8		0.5			200 10 255			800.0		10.0		0.7			50 50 50			87 77 71			124 119 114 255			70 70 70 70			70 70 70 70			100	100	0	0.75		
// 10PM 
	35 35 35 			170 170 170 			255 255 255 			15 18 20 			30 36 40 			0 0 0 			0 0 0 			1.0		1.3		0.8			200 150 255			800.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			70 70 70 70			70 70 70 70			100	100	0	0.75		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	35 35 35 			170 170 170 			255 255 255 			15 18 20 			30 36 40 			0 0 0 			0 0 0 			1.0		1.4		0.8			200 150 255			800.0		10.0		0.8			25 20 15			30 25 18			65 65 65 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 5AM 
	40 40 40 			160 160 160 			255 255 255 			15 18 20 			30 36 40 			255 194 139 			255 194 139 			1.0		0.8		0.8			200 150 255			800.0		10.0		0.8			25 20 15			30 25 18			87 87 87 255			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 6AM 
	81 60 40 			211 170 133 			255 255 255 			58 77 101 			255 204 153 			255 194 139 			255 194 139 			5.0		0.8		0.5			210 5 255			800.0		10.0		0.5			50 50 50			222 138 84			232 178 144 250			70 70 70 70			70 70 70 70			0	255	0	0.75		
// 7AM 
